,Subject,Subject Name,ID,Intensity Median,Intensity Mean,Intensity Sum,Intensity StdDev,Intensity Min,Intensity Max,Volume,Surface Area,Sphericity,Intensity/Volume,Microglia Intensity_Sum
175,107,Abi3KI/+_APPPS1,17,13919.6,19177.2,19404100000,13234.5,3026,65535,30299.8,19042.7,0.246821,0.459395772,6153200000
176,107,Abi3KI/+_APPPS1,18,13454.3,19036.4,7254910000,13607.2,3009,65535,11414.1,8487.22,0.288854,1.178743834,3132350000
177,107,Abi3KI/+_APPPS1,19,12778.2,16000.4,752257000,8751.74,3805,58916,1406.18,1315.53,0.461399,9.087172339,363950000
178,107,Abi3KI/+_APPPS1,20,11553,14571.2,1599830000,8354.44,3977,62335,3209.61,3661.31,0.287397,3.599502743,722114000
179,108,Abi3KI/+_APPPS1,0,12141.3,15209.1,552745000,8816.68,2288,64453,1099.83,1057.99,0.487026,11.03925152,240726000
180,108,Abi3KI/+_APPPS1,1,12961.8,16642,1147810000,10560.7,3488,65535,2062.09,1444.8,0.542267,6.285758624,595951000
181,108,Abi3KI/+_APPPS1,2,14195.8,19714.3,1842600000,13827.6,3610,65535,2801.79,1670.27,0.575426,5.066689509,858533000
182,108,Abi3KI/+_APPPS1,3,14646.6,20063.3,12726200000,13754.4,3125,65535,19025.3,8450.98,0.407816,0.76984857,4141340000
183,108,Abi3KI/+_APPPS1,4,14408.9,20409.9,10034500000,14390,3044,65535,14742.2,6925.28,0.419845,0.977391434,3342600000
184,108,Abi3KI/+_APPPS1,5,10686.7,11577.6,556696000,3803.07,3722,37446,1437.51,1485.75,0.414584,7.434174371,206798000
185,108,Abi3KI/+_APPPS1,6,13043.1,18081.1,24995900000,13118.6,2807,65535,41359.3,19188,0.301418,0.315360753,8505270000
186,108,Abi3KI/+_APPPS1,7,10866.2,11504,393806000,3292.76,3636,31644,1035.44,885.38,0.559035,10.49428262,120406000
187,108,Abi3KI/+_APPPS1,8,12672.7,16532.9,3583230000,10394.9,2912,65535,6516.49,4106.89,0.410816,1.944712568,1383140000
188,108,Abi3KI/+_APPPS1,9,11916,16105.3,1904240000,10952.6,3524,65535,3520.09,2675.91,0.418197,3.385140721,899694000
189,108,Abi3KI/+_APPPS1,10,10233.1,10817.8,472663000,3009.26,4085,27738,1280.24,1439.9,0.395987,7.993110667,202111000
190,108,Abi3KI/+_APPPS1,11,10599.8,12208.6,853100000,6083.42,3523,65535,2059.62,2188.73,0.357671,5.146483332,443699000
